Date,Price
2004-08-19,2.492181
2004-08-20,2.690134
2004-08-23,2.717208
2004-08-24,2.604694
2004-08-25,2.632761
2004-08-26,2.680199
2004-08-27,2.636486
2004-08-30,2.533659
2004-08-31,2.5426
2004-09-01,2.489945
2004-09-02,2.52124
2004-09-03,2.483985
2004-09-07,2.522979
2004-09-08,2.540862
2004-09-09,2.54111
2004-09-10,2.616119
2004-09-13,2.670016
2004-09-14,2.769117
2004-09-15,2.781785
2004-09-16,2.830714
2004-09-17,2.918142
2004-09-20,2.964587
2004-09-21,2.926835
2004-09-22,2.940246
2004-09-23,3.00085
2004-09-24,2.976261
2004-09-27,2.937266
2004-09-28,3.150868
2004-09-29,3.255681
2004-09-30,3.218922
2004-10-01,3.292937
2004-10-04,3.354534
2004-10-05,3.436746
2004-10-06,3.404705
2004-10-07,3.448668
2004-10-08,3.42085
2004-10-11,3.359502
2004-10-12,3.412653
2004-10-13,3.499584
2004-10-14,3.526906
2004-10-15,3.579312
2004-10-18,3.704741
2004-10-19,3.674439
2004-10-20,3.489401
2004-10-21,3.710205
2004-10-22,4.282706
2004-10-25,4.654522
2004-10-26,4.515433
2004-10-27,4.619004
2004-10-28,4.801062
2004-10-29,4.734995
2004-11-01,4.868868
2004-11-02,4.840057
2004-11-03,4.760578
2004-11-04,4.58746
2004-11-05,4.206208
2004-11-08,4.285686
2004-11-09,4.190063
2004-11-10,4.1692
2004-11-11,4.545734
2004-11-12,4.520401
2004-11-15,4.591682
2004-11-16,4.285439
2004-11-17,4.284445
2004-11-18,4.161252
2004-11-19,4.207449
2004-11-22,4.100648
2004-11-23,4.160755
2004-11-24,4.340577
2004-11-26,4.455574
2004-11-29,4.496804
2004-11-30,4.519903
2004-12-01,4.469731
2004-12-02,4.455822
2004-12-03,4.48066
2004-12-06,4.378579
2004-12-07,4.257869
2004-12-08,4.221855
2004-12-09,4.307543
2004-12-10,4.263333
2004-12-13,4.233529
2004-12-14,4.438188
2004-12-15,4.465261
2004-12-16,4.383049
2004-12-17,4.472712
2004-12-20,4.595408
2004-12-21,4.563865
2004-12-22,4.6272
2004-12-23,4.66694
2004-12-27,4.766539
2004-12-28,4.78765
2004-12-29,4.791126
2004-12-30,4.907862
2004-12-31,4.788395
2005-01-03,5.034781
2005-01-04,4.830867
2005-01-05,4.806279
2005-01-06,4.683084
2005-01-07,4.814723
2005-01-10,4.844776
2005-01-11,4.807023
2005-01-12,4.852724
2005-01-13,4.851481
2005-01-14,4.966727
2005-01-18,5.064338
2005-01-19,4.900411
2005-01-20,4.816462
2005-01-21,4.676378
2005-01-24,4.488608
2005-01-25,4.399194
2005-01-26,4.700222
2005-01-27,4.671411
2005-01-28,4.727543
2005-01-31,4.858684
2005-02-01,4.766289
2005-02-02,5.115503
2005-02-03,5.237206
2005-02-04,5.075762
2005-02-07,4.868868
2005-02-08,4.933693
2005-02-09,4.758342
2005-02-10,4.668927
2005-02-11,4.654522
2005-02-14,4.793362
2005-02-15,4.848999
2005-02-16,4.927981
2005-02-17,4.915313
2005-02-18,4.916556
2005-02-22,4.753126
2005-02-23,4.817207
2005-02-24,4.691529
2005-02-25,4.61652
2005-02-28,4.669175
2005-03-01,4.621239
2005-03-02,4.599382
2005-03-03,4.644836
2005-03-04,4.617266
2005-03-07,4.689543
2005-03-08,4.599879
2005-03-09,4.504255
2005-03-10,4.470229
2005-03-11,4.416082
2005-03-14,4.34629
2005-03-15,4.436201
2005-03-16,4.36144
2005-03-17,4.45309
2005-03-18,4.471719
2005-03-21,4.492582
2005-03-22,4.435953
2005-03-23,4.445391
2005-03-24,4.452098
2005-03-28,4.505993
2005-03-29,4.460045
2005-03-30,4.481903
2005-03-31,4.483392
2005-04-01,4.471719
2005-04-04,4.602115
2005-04-05,4.683581
2005-04-06,4.699725
2005-04-07,4.812487
2005-04-08,4.770016
2005-04-11,4.799324
2005-04-12,4.817454
2005-04-13,4.791872
2005-04-14,4.755113
2005-04-15,4.594912
2005-04-18,4.643841
2005-04-19,4.753871
2005-04-20,4.920281
2005-04-21,5.072286
2005-04-22,5.360151
2005-04-25,5.551895
2005-04-26,5.433173
2005-04-27,5.458755
2005-04-28,5.45056
2005-04-29,5.46422
2005-05-02,5.521097
2005-05-03,5.617962
2005-05-04,5.675337
2005-05-05,5.637584
2005-05-06,5.663415
2005-05-09,5.61374
2005-05-10,5.657952
2005-05-11,5.744633
2005-05-12,5.680801
2005-05-13,5.693717
2005-05-16,5.738672
2005-05-17,5.790334
2005-05-18,5.940103
2005-05-19,5.940599
2005-05-20,6.000954
2005-05-23,6.344704
2005-05-24,6.358364
2005-05-25,6.477832
2005-05-26,6.437843
2005-05-27,6.606738
2005-05-31,6.886656
2005-06-01,7.15316
2005-06-02,7.150677
2005-06-03,6.960919
2005-06-06,7.226182
2005-06-07,7.280326
2005-06-08,6.943532
2005-06-09,7.111185
2005-06-10,7.016555
2005-06-13,7.022764
2005-06-14,6.91348
2005-06-15,6.825306
2005-06-16,6.890878
2005-06-17,6.961913
2005-06-20,7.120872
2005-06-21,7.149185
2005-06-22,7.185448
2005-06-23,7.195632
2005-06-24,7.382906
2005-06-27,7.553041
2005-06-28,7.500883
2005-06-29,7.270392
2005-06-30,7.30591
2005-07-01,7.233882
2005-07-05,7.344656
2005-07-06,7.240587
2005-07-07,7.340434
2005-07-08,7.357572
2005-07-11,7.28604
2005-07-12,7.247046
2005-07-13,7.422894
2005-07-14,7.473314
2005-07-15,7.480765
2005-07-18,7.439783
2005-07-19,7.697099
2005-07-20,7.749257
2005-07-21,7.797441
2005-07-22,7.510818
2005-07-25,7.348134
2005-07-26,7.354095
2005-07-27,7.374959
2005-07-28,7.289765
2005-07-29,7.147199
2005-08-01,7.242824
2005-08-02,7.431089
2005-08-03,7.384148
2005-08-04,7.394828
2005-08-05,7.261202
2005-08-08,7.233882
2005-08-09,7.241829
2005-08-10,7.095537
2005-08-11,7.055053
2005-08-12,7.19588
2005-08-15,7.053811
2005-08-16,7.094791
2005-08-17,7.081132
2005-08-18,6.954213
2005-08-19,6.954461
2005-08-22,6.805685
2005-08-23,6.944029
2005-08-24,7.018293
2005-08-25,7.01879
2005-08-26,7.04338
2005-08-29,7.164336
2005-08-30,7.135029
2005-08-31,7.103485
2005-09-01,7.109694
2005-09-02,7.164336
2005-09-06,7.131054
2005-09-07,7.323792
2005-09-08,7.336708
2005-09-09,7.428606
2005-09-12,7.693124
2005-09-13,7.741309
2005-09-14,7.525721
2005-09-15,7.516282
2005-09-16,7.456176
2005-09-19,7.545341
2005-09-20,7.647671
2005-09-21,7.746772
2005-09-22,7.733609
2005-09-23,7.832711
2005-09-26,7.805885
2005-09-27,7.797441
2005-09-28,7.600232
2005-09-29,7.690144
2005-09-30,7.86003
2005-10-03,7.91517
2005-10-04,7.724419
2005-10-05,7.717216
2005-10-06,7.767885
2005-10-07,7.773846
2005-10-10,7.715726
2005-10-11,7.602716
2005-10-12,7.475301
2005-10-13,7.387623
2005-10-14,7.355336
2005-10-17,7.575396
2005-10-18,7.532674
2005-10-19,7.667293
2005-10-20,7.530688
2005-10-21,8.44222
2005-10-24,8.659546
2005-10-25,8.616327
