Year of Birth,Child's First Name,Count
2021,Chloe,71
2021,Olivia,71
2021,Emma,66
2021,Mia,59
2021,Ava,53
2021,Amelia,46
2021,Evelyn,44
2021,Sophia,43
2021,Aria,42
2021,Emily,39
2021,Charlotte,36
2021,Hannah,34
2021,Ella,34
2021,Zoey,34
2021,Bella,33
2021,Luna,33
2021,Audrey,31
2021,Maya,31
2021,Iris,29
2021,Maryam,29
2021,Ayesha,28
2021,Grace,27
2021,Hailey,27
2021,Arya,26
2021,Ellie,26
2021,Tenzin,26
2021,Zoe,26
2021,Isabella,25
2021,Mirha,25
2021,Zara,25
2021,Alina,24
2021,Leah,24
2021,Sarah,24
2021,Nora,22
2021,Zainab,22
2021,Harper,22
2021,Mila,21
2021,Anaya,21
2021,Lily,20
2021,Kaia,20
2021,Inaya,19
2021,Abigail,19
2021,Gianna,19
2021,Eleanor,19
2021,Celine,19
2021,Anna,18
2021,Sofia,18
2021,Riley,18
2021,Aurora,18
2021,Fatima,17
2021,Madison,17
2021,Aisha,16
2021,Jannat,16
2021,Elena,16
2021,Ayat,16
2021,Amira,16
2021,Avery,15
2021,Scarlett,15
2021,Penelope,15
2021,Eva,15
2021,Emilia,15
2021,Anya,14
2021,Hazel,14
2021,Aleena,14
2021,Sophie,14
2021,Phoebe,14
2021,Inaaya,14
2021,Kayla,13
2021,Ariana,13
2021,Annie,13
2021,Skylar,13
2021,Serena,13
2021,Mahira,13
2021,Claire,13
2021,Amara,12
2021,Stella,12
2021,Lydia,12
2021,Layla,12
2021,Isla,12
2021,Ayla,12
2021,Amaya,12
2021,Alaia,12
2021,Aliya,11
2021,Zahra,11
2021,Elizabeth,11
2021,Zoya,11
2021,Fatimah,11
2021,Hania,11
2021,Humaira,11
2021,Joanna,11
2021,Madeline,11
2021,Naomi,11
2021,Noor,11
2021,Nyra,11
2021,Vera,11
2021,Camille,11
2021,Amal,11
2021,Hana,10
2021,Freya,10
2021,Fiona,10
2021,Dua,10
2021,Arisha,10
2021,Alisha,10
2021,Alia,10
2021,Alexandra,10
2021,Alyssa,10
2021,Syeda,10
2021,Summer,10
2021,Sara,10
2021,Saanvi,10
2021,Norah,10
2021,Nina,10
2021,Minha,10
2021,Melody,10
2021,Lia,10
2021,Kira,10
2021,Katherine,10
2021,Angela,10
2021,Ava,69
2021,Nova,49
2021,Gianna,47
2021,Olivia,44
2021,Fatoumata,41
2021,Aaliyah,39
2021,Serenity,38
2021,Zuri,38
2021,Amelia,37
2021,Madison,36
2021,Skylar,35
2021,Journee,35
2021,Aria,33
2021,Riley,30
2021,Mariam,29
2021,Journey,29
2021,Fatima,29
2021,Autumn,29
2021,Aminata,28
2021,Brielle,28
2021,Savannah,28
2021,Reign,28
2021,Nevaeh,27
2021,Chloe,25
2021,Leah,24
2021,Naomi,24
2021,Nyla,24
2021,Layla,23
2021,Kehlani,23
2021,Khloe,22
2021,Leilani,22
2021,Khadija,22
2021,Amina,22
2021,Miracle,22
2021,Jasmine,22
2021,Faith,21
2021,Melody,21
2021,Amaya,21
2021,Mia,21
2021,Summer,21
2021,Ariah,21
2021,Abigail,20
2021,Milani,20
2021,Sarai,20
2021,Kaylee,20
2021,Dream,20
2021,Amira,20
2021,Aisha,19
2021,Legacy,18
2021,Zoe,18
2021,Saige,18
2021,Gabriella,18
2021,Luna,18
2021,Genesis,18
2021,Harmony,18
2021,Kali,17
2021,Alani,17
2021,Londyn,17
2021,Isabella,17
2021,Makayla,17
2021,Aniyah,17
2021,Zhuri,17
2021,Grace,17
2021,Arielle,17
2021,Bella,17
2021,London,16
2021,Hawa,16
2021,Jayla,16
2021,Eliana,15
2021,Gabrielle,15
2021,Khadijah,15
2021,Victoria,15
2021,Zariah,15
2021,Zoey,15
2021,Avery,15
2021,Aubrey,15
2021,Ariel,15
2021,Ella,15
2021,Maya,14
2021,Zara,14
2021,Trinity,14
2021,Sevyn,14
2021,Sariyah,14
2021,Rylee,14
2021,Mariama,14
2021,Kyra,14
2021,Kylie,14
2021,Jordyn,14
2021,Cali,14
2021,Aurora,14
2021,Arianna,14
2021,Ariana,14
2021,Amiyah,14
2021,Elizabeth,13
2021,Kamiyah,13
2021,Lauren,13
2021,Shiloh,13
2021,Kaylani,13
2021,Sophia,13
2021,Alaia,13
2021,Amara,13
2021,Mackenzie,13
2021,Amora,13
2021,Dior,13
2021,Peyton,13
2021,Alyssa,13
2021,Lyric,13
2021,Malani,12
2021,Mariah,12
2021,Milan,12
2021,Mya,12
2021,Paris,12
2021,Wynter,12
2021,Jade,12
2021,Kaliyah,12
2021,Laila,12
2021,Janiyah,11
2021,Aissatou,11
2021,Kennedy,11
2021,Arya,11
2021,Athena,11
2021,Destiny,11
2021,Kimora,11
2021,Aliyah,11
2021,Egypt,11
2021,Emma,11
2021,Hannah,11
2021,Sarah,11
2021,India,10
2021,Isabelle,10
2021,Tori,10
2021,Taylor,10
2021,Skye,10
2021,Paige,10
2021,Oumou,10
2021,Nylah,10
2021,Amoura,10
2021,Aniya,10
2021,Emily,10
2021,Nia,10
2021,Esther,10
2021,Mila,10
2021,Marley,10
2021,Malia,10
2021,Imani,10
2021,Kayla,10
2021,Isabella,175
2021,Luna,173
2021,Emma,166
2021,Mia,166
2021,Camila,147
2021,Sophia,140
2021,Sofia,116
2021,Gianna,104
2021,Valentina,100
2021,Alaia,96
2021,Ava,94
2021,Olivia,94
2021,Amelia,93
2021,Scarlett,81
2021,Emily,79
2021,Leah,78
2021,Zoe,73
2021,Victoria,72
2021,Hailey,68
2021,Abigail,64
2021,Chloe,60
2021,Genesis,60
2021,Amy,59
2021,Samantha,57
2021,Layla,55
2021,Mila,54
2021,Penelope,53
2021,Aaliyah,50
2021,Elena,48
2021,Grace,47
2021,Emilia,46
2021,Ella,45
2021,Alice,44
2021,Madison,44
2021,Daniela,44
2021,Violet,43
2021,Melanie,43
