Branch,Member ID,Book ID
Riverside,80,3
Eastgate,753,33
Downtown,39,19
Westside,300,30
Eastgate,5,13
Westside,232,15
Eastgate,982,17
Downtown,509,4
Westside,572,27
Northpark,303,12
Riverside,350,5
Northpark,283,22
Riverside,190,10
Riverside,849,17
Riverside,476,17
Westside,507,10
Northpark,185,28
Westside,477,8
Westside,139,18
Eastgate,539,29
Eastgate,941,26
Westside,192,16
Westside,190,16
Eastgate,714,31
Northpark,248,9
Downtown,631,30
Riverside,5,10
Westside,761,12
Eastgate,945,21
Downtown,365,3
Westside,425,21
Downtown,775,13
Westside,526,26
Riverside,555,19
Westside,294,8
Downtown,303,8
Northpark,427,29
Eastgate,186,35
Eastgate,299,10
Downtown,29,6
Downtown,626,4
Downtown,590,33
Westside,683,2
Downtown,27,16
Eastgate,808,22
Westside,382,22
Westside,265,21
Riverside,640,21
Eastgate,86,13
Northpark,299,27
Riverside,18,35
Westside,451,21
Northpark,940,31
Eastgate,880,7
Riverside,851,20
Riverside,615,21
Westside,925,29
Riverside,896,5
Eastgate,714,31
Eastgate,21,4
Riverside,86,19
Northpark,562,6
Eastgate,587,34
Northpark,695,5
Downtown,475,8
Riverside,149,27
Eastgate,375,26
Northpark,721,25
Riverside,17,27
Downtown,174,15
Downtown,733,7
Eastgate,477,35
Westside,929,31
Downtown,843,15
Westside,5,21
Westside,366,8
Downtown,51,9
Westside,698,35
Eastgate,966,9
Riverside,776,9
Riverside,114,33
Riverside,387,34
Eastgate,962,11
Riverside,376,19
Riverside,940,6
Riverside,175,24
Downtown,606,19
Northpark,30,10
Westside,139,20
Riverside,174,33
Downtown,203,1
Westside,283,9
Northpark,186,33
Westside,30,25
Northpark,120,4
Riverside,350,27
Eastgate,317,8
Riverside,511,4
Eastgate,139,35
Eastgate,21,12
Eastgate,911,17
Downtown,21,30
Downtown,555,23
Eastgate,573,10
Downtown,880,11
Northpark,5,16
Eastgate,175,26
Northpark,62,20
Northpark,283,24
Eastgate,34,17
Northpark,114,3
Riverside,30,10
Eastgate,17,25
Westside,17,25
Eastgate,29,35
Downtown,194,17
Riverside,880,30
Downtown,721,21
Downtown,190,20
Eastgate,151,34
Riverside,528,5
Northpark,793,20
Downtown,222,5
Northpark,429,20
Riverside,437,20
Northpark,351,30
Northpark,203,32
Northpark,935,8
Westside,179,5
Eastgate,185,21
Eastgate,212,22
Westside,775,31
Westside,375,33
Westside,148,25
Eastgate,849,24
Downtown,526,5
Westside,915,8
Eastgate,764,3
Westside,507,31
Riverside,529,24
Riverside,27,18
Westside,27,34
Eastgate,337,29
Downtown,440,25
Riverside,627,22
Eastgate,808,21
Eastgate,467,34
Eastgate,510,14
Downtown,484,19
Westside,214,19
Eastgate,419,26
Westside,753,29
Westside,761,5
Northpark,608,18
Riverside,509,2
Northpark,376,29
Northpark,201,22
Downtown,139,20
Westside,960,5
Northpark,203,6
Northpark,444,6
Downtown,148,23
Downtown,151,29
Westside,843,18
Northpark,940,9
Northpark,222,10
Downtown,365,31
Westside,51,12
Riverside,451,29
Westside,54,19
Riverside,178,20
Westside,300,13
Downtown,801,4
Eastgate,375,25
Downtown,775,5
Westside,192,21
Westside,370,20
Downtown,18,23
Westside,179,15
Westside,248,8
Eastgate,982,22
Downtown,960,16
Northpark,698,15
Northpark,753,28
Northpark,574,35
Riverside,376,12
Riverside,80,35
Eastgate,590,9
Downtown,54,31
Northpark,695,9
Westside,337,20
Riverside,29,26
Eastgate,2,19
Eastgate,884,19
Eastgate,766,26
Westside,477,18
Eastgate,376,1
Eastgate,618,29
Westside,175,10
Riverside,502,24
Eastgate,440,34
Westside,211,28
Riverside,606,6
Downtown,733,29
Northpark,960,12
Northpark,910,17
Eastgate,77,28
Eastgate,232,27
Eastgate,539,32
Riverside,427,26
Westside,122,21
Northpark,300,23
Riverside,606,19
Downtown,351,29
Westside,775,4
Westside,365,30
Riverside,640,25
Eastgate,511,34
Downtown,283,32
Downtown,151,22
Northpark,80,28
Northpark,214,13
Northpark,21,9
Westside,192,35
Eastgate,896,29
Riverside,626,16
Northpark,574,4
Downtown,484,2
Riverside,608,11
Eastgate,801,29
Westside,574,17
Eastgate,150,18
Riverside,539,14
Northpark,178,11
Westside,572,2
Eastgate,467,29
Riverside,175,3
Eastgate,288,6
Northpark,607,21
Riverside,57,5
Westside,288,11
Eastgate,186,10
Riverside,892,33
Northpark,640,27
Westside,150,18
Westside,616,16
Downtown,62,20
Riverside,502,35
Westside,484,17
Riverside,468,32
